Ticker,Actural,Estimated,Released
A,0.51,0.58,N/A
AA,0.41,0.62,20170719
AAL,1.76,1.92,20170728
AAP,1.18,1.58,N/A
AAPL,2.11,2.0961,20170502
ABBV,1.2,1.42,20170728
ABC,1.89,1.77,20170504
ABMD,0.21,0.2,20161027
ABT,0.16,0.62,20170720
ACA,N/A,N/A,N/A
ACC,-0.02,0.1972,20170724
ACGL,0.43,0.4033,20170726
ACHC,0.57,0.66,20170727
ACM,0.66,0.89,20170509
ACN,1.35,1.33,20170323
ADBE,0.76,0.801,20170620
ADI,0.27,1.03,N/A
ADM,0.48,0.57,20170801
ADNT,2.03,2.5,20170428
ADP,1.14,0.87,20170201
ADS,2.48,2.4677,20170720
ADSK,-0.44,-0.2379,N/A
ADT,-0.8388,N/A,N/A
AEE,0.79,0.7955,20170804
AEP,0.76,0.75,20170727
AES,0.08,0.25,20170808
AFG,1.64,1.61,20170801
AFL,0.9,0.915,20170727
AGCO,1.15,1.15,20170727
AGIO,-1.78,-1.78,20170808
AGN,-2.37,4.02,20170803
AGNC,0.05,0.67,20170726
AGO,1.26,1.16,20170802
AGR,0.39,0.46,20170719
AHL,1.09,0.47,20170726
AIG,1.22,1.53,20170802
AIV,0.1,0.0915,20170727
AIZ,2.18,1.63,20170801
AJG,0.39,1.0308,20170727
AKAM,0.33,0.3557,20170725
AL,0.98,0.92,20170803
ALB,0.93,1.13,20170807
ALGN,0.86,0.85,20170727
ALK,2.37,2.51,20170726
ALKS,-0.28,-0.2833,20170727
ALL,1.51,1.38,20170801
ALLE,1.11,1.11,20170727
ALLY,0.55,0.58,20170727
ALNY,-1.34,-1.34,20170809
ALSN,0.63,0.6516,20170731
ALXN,0.74,0.9009,20170727
AMAT,0.76,0.79,N/A
AMCX,1.55,1.88,20170803
AMD,-0.04,-0.0094,20170725
AME,0.65,0.6498,20170802
AMG,2.24,3.33,20170731
AMGN,2.93,2.9212,20170725
AMH,0,0.0151,20170803
AMP,2.53,2.8,20170725
AMT,0.81,0.8002,20170727
AMTD,0.41,0.4038,20170419
AMZN,0.41,0.4004,20170727
AN,0.87,0.86,20170802
