Ticker,Actural,Estimated,Released
AA,0.41,0.62,2017-07-19T16:00:00
AAL,1.76,1.92,2017-07-28T16:00:00
AAPL,2.11,2.0961,2017-05-02T16:00:00
ABBV,1.2,1.42,2017-07-28T16:00:00
ABC,1.89,1.77,2017-05-04T16:00:00
ABMD,0.21,0.2,2016-10-27T16:00:00
ABT,0.16,0.62,2017-07-20T16:00:00
ACC,-0.02,0.1972,2017-07-24T16:00:00
ACGL,0.43,0.4033,2017-07-26T16:00:00
ACHC,0.57,0.66,2017-07-27T16:00:00
ACM,0.66,0.89,2017-05-09T16:00:00
ACN,1.35,1.33,2017-03-23T16:00:00
ADBE,0.76,0.801,2017-06-20T16:00:00
ADM,0.48,0.57,2017-08-01T16:00:00
ADNT,2.03,2.5,2017-04-28T16:00:00
ADP,1.14,0.87,2017-02-01T16:00:00
ADS,2.48,2.4677,2017-07-20T16:00:00
AEE,0.79,0.7955,2017-08-04T16:00:00
AEP,0.76,0.75,2017-07-27T16:00:00
AES,0.08,0.25,2017-08-08T16:00:00
AFG,1.64,1.61,2017-08-01T16:00:00
AFL,0.9,0.915,2017-07-27T16:00:00
AGCO,1.15,1.15,2017-07-27T16:00:00
AGIO,-1.78,-1.78,2017-08-08T16:00:00
AGN,-2.37,4.02,2017-08-03T16:00:00
AGNC,0.05,0.67,2017-07-26T16:00:00
AGO,1.26,1.16,2017-08-02T16:00:00
AGR,0.39,0.46,2017-07-19T16:00:00
AHL,1.09,0.47,2017-07-26T16:00:00
AIG,1.22,1.53,2017-08-02T16:00:00
AIV,0.1,0.0915,2017-07-27T16:00:00
AIZ,2.18,1.63,2017-08-01T16:00:00
AJG,0.39,1.0308,2017-07-27T16:00:00
AKAM,0.33,0.3557,2017-07-25T16:00:00
AL,0.98,0.92,2017-08-03T16:00:00
ALB,0.93,1.13,2017-08-07T16:00:00
ALGN,0.86,0.85,2017-07-27T16:00:00
ALK,2.37,2.51,2017-07-26T16:00:00
ALKS,-0.28,-0.2833,2017-07-27T16:00:00
ALL,1.51,1.38,2017-08-01T16:00:00
ALLE,1.11,1.11,2017-07-27T16:00:00
ALLY,0.55,0.58,2017-07-27T16:00:00
ALNY,-1.34,-1.34,2017-08-09T16:00:00
ALSN,0.63,0.6516,2017-07-31T16:00:00
ALXN,0.74,0.9009,2017-07-27T16:00:00
AMCX,1.55,1.88,2017-08-03T16:00:00
AMD,-0.04,-0.0094,2017-07-25T16:00:00
AME,0.65,0.6498,2017-08-02T16:00:00
AMG,2.24,3.33,2017-07-31T16:00:00
AMGN,2.93,2.9212,2017-07-25T16:00:00
AMH,0,0.0151,2017-08-03T16:00:00
AMP,2.53,2.8,2017-07-25T16:00:00
AMT,0.81,0.8002,2017-07-27T16:00:00
AMTD,0.41,0.4038,2017-04-19T16:00:00
AMZN,0.41,0.4004,2017-07-27T16:00:00
AN,0.87,0.86,2017-08-02T16:00:00
ANET,1.42,1.1573,2017-08-03T16:00:00
ANSS,0.82,0.8212,2017-08-02T16:00:00
ANTM,3.23,3.37,2017-07-26T16:00:00
AON,2.93,1.53,2017-08-04T16:00:00
AOS,0.53,0.5283,2017-07-26T16:00:00
APA,1.5,-0.21,2017-08-03T16:00:00
APC,-0.76,-0.77,2017-07-24T16:00:00
APD,9.78,1.43,2017-04-27T16:00:00
APH,0.82,0.81,2017-07-26T16:00:00
APLE,0.39,0.39,2017-08-07T16:00:00
APTV,1.38,1.71,2017-08-02T16:00:00
AR,-0.02,-0.04,2017-08-02T16:00:00
ARD,0.1431,0.5395,2017-07-27T16:00:00
ARE,0.35,0.4312,2017-07-31T16:00:00
ARMK,0.29,0.2977,2017-05-09T16:00:00
ARNC,0.44,0.32,2017-07-24T16:00:00
ARRS,0.16,0.2352,2017-08-02T16:00:00
ARW,1.12,1.78,2017-08-03T16:00:00
ASB,0.36,0.36,2017-07-20T16:00:00
ASH,1.48,1.71,2017-04-25T16:00:00
ATH,1.6656,1.43,2017-08-09T16:00:00
ATHN,0.25,0.2894,2017-07-20T16:00:00
ATO,1.55,1.55,2017-05-03T16:00:00
ATR,1.04,1.01,2017-07-27T16:00:00
ATVI,0.32,0.3325,2017-08-03T16:00:00
AVB,1.2,1.0517,2017-08-02T16:00:00
AVT,0.8,0.77,2017-01-26T16:00:00
AVY,1.37,1.31,2017-07-25T16:00:00
AWI,0.77,0.73,2017-07-31T16:00:00
AWK,0.74,0.7318,2017-08-02T16:00:00
AXP,1.48,1.47,2017-07-19T16:00:00
AXS,1.01,1.31,2017-07-26T16:00:00
AXTA,-0.09,0.31,2017-08-03T16:00:00
AYI,1.54,1.77,2017-04-04T16:00:00
AZO,8.29,8.0827,2017-02-28T16:00:00
AZPN,0.48,0.4795,2017-01-26T16:00:00
BA,2.91,2.55,2017-07-26T16:00:00
BAC,0.47,0.4811,2017-07-18T16:00:00
BAH,0.42,0.46,2016-11-02T16:00:00
BAX,0.49,0.63,2017-07-26T16:00:00
BBT,0.78,0.78,2017-07-20T16:00:00
BC,1.33,1.3479,2017-07-27T16:00:00
BDN,0.02,0.02,2017-07-20T16:00:00
BDX,1.61,2.3,2017-05-02T16:00:00
BEN,0.74,0.74,2017-04-28T16:00:00
BERY,0.56,0.79,2017-05-03T16:00:00
BF/A,0.408,0.4,2016-12-07T16:00:00
BF/B,0.408,0.4,2016-12-07T16:00:00
BFAM,0.56,0.5681,2017-08-01T16:00:00
BG,0.52,0.17,2017-08-02T16:00:00
BGCP,0.18,0.24,2017-07-26T16:00:00
BHGE,0,-0.11,2017-07-28T16:00:00
BIIB,4.07,4.4985,2017-07-25T16:00:00
BIO,0.17,0.3888,2017-08-03T16:00:00
BK,0.88,0.9301,2017-07-20T16:00:00
BKNG,14.66,15.14,2017-08-08T16:00:00
BKU,0.6,0.6023,2017-07-26T16:00:00
BLK,5.26,5.24,2017-07-17T16:00:00
BLL,0.28,0.53,2017-08-03T16:00:00
BLUE,-1.73,-1.73,2017-08-02T16:00:00
BMRN,-0.21,-0.001,2017-08-02T16:00:00
BMS,0.31,0.48,2017-07-27T16:00:00
BMY,0.56,0.74,2017-07-27T16:00:00
BOH,1.05,1.0476,2017-07-24T16:00:00
BOKF,1.35,1.3604,2017-07-26T16:00:00
BPOP,0.94,0.94,2017-07-26T16:00:00
