,date
0,2017-01-01 16:00:00
1,2017-01-02 16:00:00
2,2017-01-03 16:00:00
3,2017-01-04 16:00:00
4,2017-01-05 16:00:00
5,2017-01-06 16:00:00
6,2017-01-07 16:00:00
7,2017-01-08 16:00:00
8,2017-01-09 16:00:00
9,2017-01-10 16:00:00
10,2017-01-11 16:00:00
11,2017-01-12 16:00:00
12,2017-01-13 16:00:00
13,2017-01-14 16:00:00
14,2017-01-15 16:00:00
15,2017-01-16 16:00:00
16,2017-01-17 16:00:00
17,2017-01-18 16:00:00
18,2017-01-19 16:00:00
19,2017-01-20 16:00:00
20,2017-01-21 16:00:00
21,2017-01-22 16:00:00
22,2017-01-23 16:00:00
23,2017-01-24 16:00:00
24,2017-01-25 16:00:00
25,2017-01-26 16:00:00
26,2017-01-27 16:00:00
27,2017-01-28 16:00:00
28,2017-01-29 16:00:00
29,2017-01-30 16:00:00
30,2017-01-31 16:00:00
31,2017-02-01 16:00:00
32,2017-02-02 16:00:00
33,2017-02-03 16:00:00
34,2017-02-04 16:00:00
35,2017-02-05 16:00:00
36,2017-02-06 16:00:00
37,2017-02-07 16:00:00
38,2017-02-08 16:00:00
39,2017-02-09 16:00:00
40,2017-02-10 16:00:00
41,2017-02-11 16:00:00
42,2017-02-12 16:00:00
43,2017-02-13 16:00:00
44,2017-02-14 16:00:00
45,2017-02-15 16:00:00
46,2017-02-16 16:00:00
47,2017-02-17 16:00:00
48,2017-02-18 16:00:00
49,2017-02-19 16:00:00
50,2017-02-20 16:00:00
51,2017-02-21 16:00:00
52,2017-02-22 16:00:00
53,2017-02-23 16:00:00
54,2017-02-24 16:00:00
55,2017-02-25 16:00:00
56,2017-02-26 16:00:00
57,2017-02-27 16:00:00
58,2017-02-28 16:00:00
59,2017-03-01 16:00:00
60,2017-03-02 16:00:00
61,2017-03-03 16:00:00
62,2017-03-04 16:00:00
63,2017-03-05 16:00:00
64,2017-03-06 16:00:00
65,2017-03-07 16:00:00
66,2017-03-08 16:00:00
67,2017-03-09 16:00:00
68,2017-03-10 16:00:00
69,2017-03-11 16:00:00
70,2017-03-12 16:00:00
71,2017-03-13 16:00:00
72,2017-03-14 16:00:00
73,2017-03-15 16:00:00
74,2017-03-16 16:00:00
75,2017-03-17 16:00:00
76,2017-03-18 16:00:00
77,2017-03-19 16:00:00
78,2017-03-20 16:00:00
79,2017-03-21 16:00:00
80,2017-03-22 16:00:00
81,2017-03-23 16:00:00
82,2017-03-24 16:00:00
83,2017-03-25 16:00:00
84,2017-03-26 16:00:00
85,2017-03-27 16:00:00
86,2017-03-28 16:00:00
87,2017-03-29 16:00:00
88,2017-03-30 16:00:00
89,2017-03-31 16:00:00
90,2017-04-01 16:00:00
91,2017-04-02 16:00:00
92,2017-04-03 16:00:00
93,2017-04-04 16:00:00
94,2017-04-05 16:00:00
95,2017-04-06 16:00:00
96,2017-04-07 16:00:00
97,2017-04-08 16:00:00
98,2017-04-09 16:00:00
99,2017-04-10 16:00:00
100,2017-04-11 16:00:00
101,2017-04-12 16:00:00
102,2017-04-13 16:00:00
103,2017-04-14 16:00:00
104,2017-04-15 16:00:00
105,2017-04-16 16:00:00
106,2017-04-17 16:00:00
107,2017-04-18 16:00:00
108,2017-04-19 16:00:00
109,2017-04-20 16:00:00
110,2017-04-21 16:00:00
111,2017-04-22 16:00:00
112,2017-04-23 16:00:00
113,2017-04-24 16:00:00
114,2017-04-25 16:00:00
115,2017-04-26 16:00:00
116,2017-04-27 16:00:00
117,2017-04-28 16:00:00
118,2017-04-29 16:00:00
119,2017-04-30 16:00:00
120,2017-05-01 16:00:00
121,2017-05-02 16:00:00
122,2017-05-03 16:00:00
123,2017-05-04 16:00:00
124,2017-05-05 16:00:00
125,2017-05-06 16:00:00
126,2017-05-07 16:00:00
127,2017-05-08 16:00:00
128,2017-05-09 16:00:00
129,2017-05-10 16:00:00
130,2017-05-11 16:00:00
131,2017-05-12 16:00:00
132,2017-05-13 16:00:00
133,2017-05-14 16:00:00
134,2017-05-15 16:00:00
135,2017-05-16 16:00:00
136,2017-05-17 16:00:00
137,2017-05-18 16:00:00
138,2017-05-19 16:00:00
139,2017-05-20 16:00:00
140,2017-05-21 16:00:00
141,2017-05-22 16:00:00
142,2017-05-23 16:00:00
143,2017-05-24 16:00:00
144,2017-05-25 16:00:00
145,2017-05-26 16:00:00
146,2017-05-27 16:00:00
147,2017-05-28 16:00:00
148,2017-05-29 16:00:00
149,2017-05-30 16:00:00
150,2017-05-31 16:00:00
151,2017-06-01 16:00:00
152,2017-06-02 16:00:00
153,2017-06-03 16:00:00
154,2017-06-04 16:00:00
155,2017-06-05 16:00:00
156,2017-06-06 16:00:00
157,2017-06-07 16:00:00
158,2017-06-08 16:00:00
159,2017-06-09 16:00:00
160,2017-06-10 16:00:00
161,2017-06-11 16:00:00
162,2017-06-12 16:00:00
163,2017-06-13 16:00:00
164,2017-06-14 16:00:00
165,2017-06-15 16:00:00
166,2017-06-16 16:00:00
167,2017-06-17 16:00:00
168,2017-06-18 16:00:00
169,2017-06-19 16:00:00
170,2017-06-20 16:00:00
171,2017-06-21 16:00:00
172,2017-06-22 16:00:00
173,2017-06-23 16:00:00
174,2017-06-24 16:00:00
175,2017-06-25 16:00:00
176,2017-06-26 16:00:00
177,2017-06-27 16:00:00
178,2017-06-28 16:00:00
179,2017-06-29 16:00:00
180,2017-06-30 16:00:00
181,2017-07-01 16:00:00
182,2017-07-02 16:00:00
183,2017-07-03 16:00:00
184,2017-07-04 16:00:00
185,2017-07-05 16:00:00
186,2017-07-06 16:00:00
187,2017-07-07 16:00:00
188,2017-07-08 16:00:00
189,2017-07-09 16:00:00
190,2017-07-10 16:00:00
191,2017-07-11 16:00:00
192,2017-07-12 16:00:00
193,2017-07-13 16:00:00
194,2017-07-14 16:00:00
195,2017-07-15 16:00:00
196,2017-07-16 16:00:00
197,2017-07-17 16:00:00
198,2017-07-18 16:00:00
199,2017-07-19 16:00:00
200,2017-07-20 16:00:00
201,2017-07-21 16:00:00
202,2017-07-22 16:00:00
203,2017-07-23 16:00:00
204,2017-07-24 16:00:00
205,2017-07-25 16:00:00
206,2017-07-26 16:00:00
207,2017-07-27 16:00:00
208,2017-07-28 16:00:00
209,2017-07-29 16:00:00
210,2017-07-30 16:00:00
211,2017-07-31 16:00:00
212,2017-08-01 16:00:00
213,2017-08-02 16:00:00
214,2017-08-03 16:00:00
215,2017-08-04 16:00:00
216,2017-08-05 16:00:00
217,2017-08-06 16:00:00
218,2017-08-07 16:00:00
219,2017-08-08 16:00:00
220,2017-08-09 16:00:00
221,2017-08-10 16:00:00
222,2017-08-11 16:00:00
223,2017-08-12 16:00:00
224,2017-08-13 16:00:00
225,2017-08-14 16:00:00
226,2017-08-15 16:00:00
227,2017-08-16 16:00:00
228,2017-08-17 16:00:00
229,2017-08-18 16:00:00
230,2017-08-19 16:00:00
231,2017-08-20 16:00:00
232,2017-08-21 16:00:00
233,2017-08-22 16:00:00
234,2017-08-23 16:00:00
235,2017-08-24 16:00:00
236,2017-08-25 16:00:00
237,2017-08-26 16:00:00
238,2017-08-27 16:00:00
239,2017-08-28 16:00:00
240,2017-08-29 16:00:00
241,2017-08-30 16:00:00
242,2017-08-31 16:00:00
243,2017-09-01 16:00:00
244,2017-09-02 16:00:00
245,2017-09-03 16:00:00
246,2017-09-04 16:00:00
247,2017-09-05 16:00:00
248,2017-09-06 16:00:00
249,2017-09-07 16:00:00
250,2017-09-08 16:00:00
251,2017-09-09 16:00:00
252,2017-09-10 16:00:00
253,2017-09-11 16:00:00
254,2017-09-12 16:00:00
255,2017-09-13 16:00:00
